              precision    recall  f1-score   support

           0       1.00      1.00      1.00         5
           1       0.99      1.00      0.99       140
           2       1.00      1.00      1.00        30
           3       1.00      1.00      1.00         9
           4       0.00      0.00      0.00         2
           5       1.00      1.00      1.00        69

    accuracy                           0.99       255
   macro avg       0.83      0.83      0.83       255
weighted avg       0.98      0.99      0.99       255

-  ---  --  -  -  --
5    0   0  0  0   0
0  140   0  0  0   0
0    0  30  0  0   0
0    0   0  9  0   0
0    2   0  0  0   0
0    0   0  0  0  69
-  ---  --  -  -  --
mature_flower	mature_leaf	mature_root	seed	senescence	young_seedling
